Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Артюх,Валентина,,Жінка,2000-09-07,Дерун,селище Трускавець,"провулок Слєпньова, буд. 2, Лебедин, 55547",090-46-40,bhrechanyk@example.net
Гаврилюк,Оксенія,,Жінка,1996-12-10,Адвокат,селище Зеленодольськ,"провулок Севастопольський, буд. 64, Ровеньки, 11062",132-76-52,iukhymkorzh@example.org
Ванченко,Марʼяна,,Жінка,1991-09-13,Професор,місто Миколаївка ,"площа Тепличний 2-й, буд. 18 кв. 533, Нетішин, 27117",644 39 80,oles68@example.com
Євдокименко,Альбіна,,Жінка,1996-07-02,Штукатур,хутір Харків,"провулок Амбулаторний, буд. 699, Пологи , 99037",238-84-68,amvrosiidarahan@example.com
Швайка,Ірина,,Жінка,1988-04-14,Фермер,селище Борислав,"шосе Кінна, буд. 91, Первомайськ, 96292",+380 75 386-00-20,rudykvalentyna@example.com
Вітер,Ольга,,Жінка,1984-01-10,Ді-джей,хутір Вишневе ,"сквер Головківська, буд. 39 кв. 359, Тальне, 71566",475-77-13,vashchenkohlib@example.com
Макаренко,Віра,,Жінка,1995-08-10,Секретар,селище Верхньодніпровськ,"площа Тупиковий 1-й, буд. 62, Олевськ, 47072",048 515 37 34,hsamoilenko@example.net
Хомик,Маруся,,Жінка,1979-10-02,Секретар,хутір Шаргород,"провулок Ананьївська, буд. 1 кв. 7, Нікополь, 30997",+380 48 293 94 27,zaichenkoihnat@example.com
Кабаненко,Еріка,,Жінка,2006-01-16,Доцент,село Зборів,"площа Зернова, буд. 0 кв. 174, Великі Мости, 24396",+380 82 874 79 17,parkhymovych@example.com
Івасюк,Ольга,,Жінка,1948-09-06,Редактор,хутір Яготин,"парк Восьмого березня 3-й, буд. 859, Козятин, 70446",365-87-69,wdatsenko@example.com
Вишняк,Тетяна,,Жінка,1959-07-29,Хореограф,село Кодима,"узвіз Житомирський 4-й, буд. 0 кв. 378, Помічна, 06110",980-62-62,stefanievtushenko@example.net
Ковпак,Оксана,,Жінка,2002-07-11,Гірничий інженер,місто Берестечко,"провулок Куликовський 2-й, буд. 4, Лисичанськ, 87608",+380 (24) 105-97-09,fedir18@example.com
Лисенко,Анастасія,,Жінка,1977-10-15,Пілот,хутір Гірник ,"набережна Давида Ойстраха, буд. 3 кв. 242, Конотоп, 78501",046 705-34-08,iesypenkovarvara@example.com
Чарниш,Камілла,,Жінка,2005-08-14,Електротехнік,хутір Охтирка,"парк Люстдорфський, буд. 700, Березне, 02221",090 007-95-70,edytaderhach@example.net
Чаленко,Ярослава,,Жінка,2004-05-11,Фермер,селище Підгородне,"проспект Ламаний, буд. 683, Ровеньки, 78508",002 392-46-77,svystunada@example.org
Чаленко,Ольга,,Жінка,1954-01-29,Ріелтор,селище Антрацит ,"сквер Куяльницький міст, буд. 8 кв. 2, Буча, 24780",+380 00 949-15-17,pavlogalagan@example.org
Малишко,Лариса,,Жінка,1960-08-22,Програміст,селище Корсунь-Шевченківський,"шосе 10-та Лінія Марії Демченко, буд. 99, Рені, 03749",+380 (10) 591-93-13,iaroslavshcherban@example.com
Ковпак,Марʼяна,,Жінка,2001-08-07,Диригент,місто Середина-Буда,"вулиця Сільська, буд. 170 кв. 90, Городок, 47985",642 07 62,vasylpustovit@example.org
Савенко,Галина,,Жінка,2007-06-06,Агроном,хутір Березне,"проспект Дальній, буд. 524, Світловодськ, 99416",583 14 72,martyn87@example.net
Гаврилець,Аліна,,Жінка,1974-03-18,Вчитель,селище Жданівка,"провулок Гастелло, буд. 5 кв. 77, Косів, 64423",072 930-25-43,makarvasylechko@example.net
Жученко,Еріка,,Жінка,1959-12-27,Графік,місто Комарно,"узвіз Касима Юрія, буд. 09 кв. 1, Арциз, 32983",038 701-51-75,sviatoslavivanenko@example.net
Артюх,Роксолана,,Жінка,1955-05-25,Бізнесмен,село Березань ,"провулок Горбиста, буд. 30, Новояворівськ, 03115",+380 (41) 141-56-79,vasylashkomartyn@example.org
Гупало,Ярослава,,Жінка,1973-05-23,Модель,місто Яворів,"проспект Марії Демченко, буд. 320 кв. 911, Буськ, 39728",082 572-21-00,bohdannafomenko@example.com
Вахній,Ганна,,Жінка,1973-04-19,Електротехнік,місто Нова Одеса,"узвіз Сухолиманна, буд. 3 кв. 5, Глобине, 87487",+380 (71) 140-51-56,havriushenkoielysei@example.com
Демʼянюк,Марія,,Жінка,1986-08-16,Співак,село Гуляйполе,"площа Художника Федорова, буд. 0 кв. 495, Новоселиця, 21779",089 206-24-88,martahutsuliak@example.com
Лубенець,Оксенія,,Жінка,1972-07-05,Музикант,місто Бердичів,"шосе Український 1-й, буд. 226, Прилуки, 04140",093 239 47 30,ihavrysh@example.org
Корпанюк,Василина,,Жінка,1982-04-03,Публіцист,село Дубровиця,"узвіз Кострова, буд. 20 кв. 231, Щолкіне, 53532",+380 (16) 929-20-60,bohuslava15@example.net
Тимчук,Едита,,Жінка,1971-05-18,Економіст,село Федорівка,"парк Куяльницький міст, буд. 6, Нова Каховка, 74449",041 918-82-37,olhakhudiak@example.com
Бевзенко,Ярослава,,Жінка,1993-09-13,Геолог,село Косів,"провулок Лідерсівський, буд. 3 кв. 97, Іршава, 42654",882 25 78,rostyslavbazylevych@example.net
Бабʼюк,Златослава,,Жінка,1974-07-12,Історик,місто Радивилів,"набережна Пржевальського, буд. 9 кв. 9, Гола Пристань, 87446",+380 27 373-05-04,olena83@example.org
Ґжицький,Марія,,Жінка,2004-01-11,Астронавт,місто Теплодар,"набережна Вишневий, буд. 6, Сколе, 23036",741 91 75,aaron37@example.com
Шаблій,Аліна,,Жінка,1963-10-12,Астрофізик,село Миргород,"сквер Кільцева, буд. 23 кв. 75, Євпаторія, 42031",+380 94 353 27 82,sviatoslav73@example.net
Фоменко,Людмила,,Жінка,1982-09-12,Випробувач,місто Вилкове,"сквер Дев’ята, буд. 48 кв. 9, Торецьк, 55420",+380 14 298-12-97,nbabko@example.net
Хорішко,Ярослава,,Жінка,1998-01-12,Музикант,село Слов'янськ,"вулиця Чорноморський 11-й, буд. 260, Миргород, 40931",083 964-41-43,dnestaiko@example.org
Макаренко,Богданна,,Жінка,1952-10-04,Фольклорист,хутір Кам'янка (Черкаська область),"парк Запорізька, буд. 8 кв. 33, Географія Вільнянська, 58955",+380 (41) 241-11-00,pavlo35@example.net
Ґоляш,Христина,,Жінка,1954-01-05,Археолог,селище Судова Вишня,"парк Верф’яний, буд. 080, Тетіїв, 02719",787 57 50,lukian48@example.org
Левченко,Данна,,Жінка,1954-10-03,Кінорежисер,село Зміїв,"набережна 10-та Суворовська, буд. 3, Старий Крим, 80259",387-92-12,ozinchenko@example.com
Пилипенко,Марʼяна,,Жінка,1988-04-27,Біолог,село Біляївка,"сквер Парковий, буд. 38, Перещепине, 96058",+380 (38) 655-29-29,jpetryk@example.com
Лесик,Ярослава,,Жінка,1951-08-10,Науковець,селище Гірник ,"площа Лиманчик 2-й Лінія 4-та, буд. 45, Таврійськ, 48727",+380 69 313 72 82,cdzyndra@example.net
Полтавець,Маруся,,Жінка,1967-09-18,М'ясник,селище Перечин,"узвіз Леваневського тупик, буд. 2 кв. 6, Комарно, 64426",+380 31 593 38 43,klavdiia47@example.com
Михайлюк,Розалія,,Жінка,1969-10-15,Історик,місто Бібрка,"шосе Михайла Жванецького, буд. 452, Довжанськ, 81643",+380 65 473 73 71,maksym93@example.org
Козаченко,Аніта,,Жінка,1957-10-10,Педагог,хутір Армянськ,"площа Крилова, буд. 45 кв. 5, Нова Одеса, 09553",+380 82 376 99 66,spas39@example.org
Безбородько,Мілена,,Жінка,1977-03-10,Філолог,місто Обухів,"сквер Святослава Ріхтера, буд. 4, Енергодар, 73656",+380 27 192-98-45,qkalchenko@example.org
Бабій,Тереза,,Жінка,1999-08-08,Математик,місто Олевськ,"вулиця 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 33, Сєвєродонецьк, 15020",048 477-07-10,iakivudovenko@example.com
Бараник,Варвара,,Жінка,1956-12-20,Провізор,селище Долинська,"парк Побратимів, буд. 03, Решетилівка, 26428",+380 52 630 24 32,volodymyrkhmara@example.com
Сиротенко,Богуслава,,Жінка,1949-12-25,Бізнесмен,селище Залізне,"площа Нечипуренка, буд. 6 кв. 843, Рівне, 48633",+380 22 639-46-58,tiatsenko@example.com
Вергун,Єва,,Жінка,1981-10-03,Візажист,селище Кам'янське,"шосе Кустанайська, буд. 5, Горішні Плавні, 49687",781-11-40,kdeineko@example.net
Андрейко,Марія,,Жінка,1957-01-14,Електрик,місто Верхньодніпровськ,"парк Тепличний 1-й, буд. 979, Кропивницький, 84010",058 081 04 37,larysa73@example.org
Дутка,Златослава,,Жінка,1978-09-01,Інженер,селище Люботин,"парк 8-ма Суворовська, буд. 7 кв. 3, Мелітополь, 51359",013 820 95 59,pzhuravel@example.com
